hop,run_key,run_label,dataset_dir,checkpoint_group,stats_path,metric_name,metric_value
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,count,50.0
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,confidence,0.95
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,mean,0.0487
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,margin_error,0.017547905491917756
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,lower_bound,0.031152094508082245
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,upper_bound,0.06624790549191775
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,count,50.0
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,confidence,0.95
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,mean,0.0105
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,margin_error,0.006453562532199976
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,lower_bound,0.004046437467800024
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,upper_bound,0.016953562532199977
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,count,50.0
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,confidence,0.95
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/stats.json,mean,0.059000000000000004
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/stats.json,margin_error,0.028948001705521007
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/stats.json,lower_bound,0.030051998294478997
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/stats.json,upper_bound,0.08794800170552101
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/stats.json,count,50.0
